date,min,max,median,q1,q3,stdev,count
2020-03-26T00:00:00.000Z,3,8,5,4,6,1.08,923
2020-03-27T00:00:00.000Z,3,13,4,3,5,1.619,1442
2020-03-28T00:00:00.000Z,1,7,4,3,4,1.288,692
2020-03-29T00:00:00.000Z,1,101,1.5,1,4,31.938,120
2020-03-30T00:00:00.000Z,1,1,1,1,1,0,29
2020-03-31T00:00:00.000Z,1,4,2,1,3,1.079,405
2020-04-01T00:00:00.000Z,1,4,2,1,3,1.025,205
2020-04-02T00:00:00.000Z,1,3,1,1,1,0.664,97
2020-04-03T00:00:00.000Z,1,1,1,1,1,0,10
2020-04-04T00:00:00.000Z,1,4,2,1,3,0.974,72
2020-04-05T00:00:00.000Z,1,119,4,3,34.5,25.053,129
2020-04-06T00:00:00.000Z,1,8,4,3,4,1.641,269
2020-04-07T00:00:00.000Z,1,18,4,3,8,4.122,224
2020-04-08T00:00:00.000Z,1,4,1,1,2,0.911,144
2020-04-09T00:00:00.000Z,1,4,3,3,4,1.012,73
2020-04-10T00:00:00.000Z,1,22,3,1,4,5.657,79
2020-04-11T00:00:00.000Z,1,8,3,2,4,1.594,89
2020-04-12T00:00:00.000Z,1,78,4,3,4,9.941,222
2020-04-13T00:00:00.000Z,1,4,2,1,3,0.841,41
2020-04-14T00:00:00.000Z,1,6,2,1,2,1.178,71
2020-04-15T00:00:00.000Z,1,20,2.5,2,5,5.052,64
2020-04-16T00:00:00.000Z,1,22,3,1,4,3.401,62
2020-04-17T00:00:00.000Z,1,28,3,2,11.5,7.996,72
2020-04-18T00:00:00.000Z,2,7,3,2,4.5,1.405,28
2020-04-19T00:00:00.000Z,1,4,3,2,3,0.876,23
2020-04-20T00:00:00.000Z,1,4,3,2,4,1.061,86
2020-04-21T00:00:00.000Z,1,4,1.5,1,3.5,1.244,20
2020-04-22T00:00:00.000Z,1,3,1,1,3,0.841,31
2020-04-23T00:00:00.000Z,1,4,2,1,4,1.197,49
2020-04-24T00:00:00.000Z,1,4,2,2,4,1.082,44
2020-04-25T00:00:00.000Z,1,15,3,1,3.5,3.13,48
2020-04-26T00:00:00.000Z,1,55,3,2,6,15.169,110
2020-04-27T00:00:00.000Z,1,3,2,1,3,0.809,18
2020-04-28T00:00:00.000Z,1,1,1,1,1,0,25
2020-04-29T00:00:00.000Z,1,3,1,1,2,0.68,47
2020-04-30T00:00:00.000Z,1,4,2,2,3,1.073,215
2020-05-01T00:00:00.000Z,1,117,4,2.5,5,22.168,285
2020-05-02T00:00:00.000Z,1,8,4,3,4,1.557,67
2020-05-03T00:00:00.000Z,1,10,3,2,4,2.133,93
2020-05-04T00:00:00.000Z,1,5,3,2,3,0.783,55
2020-05-05T00:00:00.000Z,1,4,2,2,3,0.854,30
2020-05-06T00:00:00.000Z,1,4,2,1,3,0.944,28
2020-05-07T00:00:00.000Z,1,4,2,1,4,1.223,19
2020-05-08T00:00:00.000Z,1,4,3,1,4,1.183,125
2020-05-09T00:00:00.000Z,1,23,4,1,8,5.738,98
2020-05-10T00:00:00.000Z,1,4,2,1,4,1.394,85
2020-05-11T00:00:00.000Z,1,5,3.5,2,4,1.136,24
2020-05-12T00:00:00.000Z,1,7,2,2,4,1.556,78
2020-05-13T00:00:00.000Z,1,50,3,2,19.5,13.301,48
2020-05-14T00:00:00.000Z,1,20,3,2.5,5,4.476,96
2020-05-15T00:00:00.000Z,1,36,4,1,8.5,6.88,76
2020-05-16T00:00:00.000Z,1,7,3,2,4,1.572,68
2020-05-17T00:00:00.000Z,1,9,3,2,4,1.595,94
2020-05-18T00:00:00.000Z,1,7,2,2,3,1.43,40
2020-05-19T00:00:00.000Z,1,7,3,1,4,1.667,48
2020-05-20T00:00:00.000Z,1,4,3,1,4,1.168,43
2020-05-21T00:00:00.000Z,1,4,3,1,3.5,1.19,24
2020-05-22T00:00:00.000Z,1,3,2,1,3,0.889,111
2020-05-23T00:00:00.000Z,0,29,0,0,1,3.107,960
2020-05-24T00:00:00.000Z,0,22,1,0,3,2.335,1348
2020-05-25T00:00:00.000Z,0,4,0,0,3,1.564,1308
2020-05-26T00:00:00.000Z,0,5,0,0,1,1.256,1374
2020-05-27T00:00:00.000Z,0,5,0,0,0,0.912,1376
2020-05-28T00:00:00.000Z,0,4,0,0,0,1.285,1376
2020-05-29T00:00:00.000Z,0,3,0,0,0,0.848,1379
2020-05-30T00:00:00.000Z,0,4,0,0,0,0.553,1345
2020-05-31T00:00:00.000Z,0,4,0,0,0,0.921,1358
2020-06-01T00:00:00.000Z,0,5,0,0,0,0.814,1227
2020-06-02T00:00:00.000Z,0,1,0,0,0,0.244,1367
2020-06-03T00:00:00.000Z,0,4,0,0,1,1.036,1344
2020-06-04T00:00:00.000Z,0,4,2,1,3,1.179,1350
2020-06-05T00:00:00.000Z,0,9,3,2,3,1.227,1365
2020-06-06T00:00:00.000Z,0,7,0,0,1,1.323,1378
2020-06-07T00:00:00.000Z,0,5,0,0,0,0.739,1366
2020-06-08T00:00:00.000Z,0,4,0,0,0,0.58,1379
2020-06-09T00:00:00.000Z,0,4,0,0,1,0.99,1264
2020-06-10T00:00:00.000Z,0,1,0,0,0,0.163,1028
2020-06-11T00:00:00.000Z,0,1,0,0,0,0.203,1370
2020-06-12T00:00:00.000Z,0,4,0,0,1,0.951,1364
2020-06-13T00:00:00.000Z,0,5,0,0,1,1.106,1360
2020-06-14T00:00:00.000Z,0,17,0,0,0,1.92,1350
2020-06-15T00:00:00.000Z,0,6,0,0,1,0.946,1360
2020-06-16T00:00:00.000Z,0,13,1,0,2,1.661,1361
2020-06-17T00:00:00.000Z,0,10,2,0,3,1.654,1371
2020-06-18T00:00:00.000Z,0,24,2,1,3,2.845,1368
2020-06-19T00:00:00.000Z,1,7,3,3,4,0.807,1360
2020-06-20T00:00:00.000Z,0,7,4,3,4,1.539,1356
2020-06-21T00:00:00.000Z,0,14,0,0,1,1.163,1379
2020-06-22T00:00:00.000Z,0,5,0,0,1,0.789,1347
2020-06-23T00:00:00.000Z,0,6,1,0,2,1.177,1371
2020-06-24T00:00:00.000Z,0,79,3,2,3,3.909,1348
2020-06-25T00:00:00.000Z,0,35,3,3,4,2.682,1353
2020-06-26T00:00:00.000Z,0,10,2,1,3,1.535,1340
2020-06-27T00:00:00.000Z,0,9,3,3,4,1.138,1323
2020-06-28T00:00:00.000Z,3,6,4,4,4,0.548,1331
2020-06-29T00:00:00.000Z,0,14,0,0,3,1.785,1290
2020-06-30T00:00:00.000Z,0,7,0,0,0,0.717,1278
2020-07-01T00:00:00.000Z,0,1,0,0,0,0.101,1250
2020-07-02T00:00:00.000Z,0,19,0,0,0,1.517,1270
2020-07-03T00:00:00.000Z,0,3,0,0,0,0.492,1303
2020-07-04T00:00:00.000Z,0,4,0,0,0,0.379,871
2020-07-05T00:00:00.000Z,0,55,0,0,1,6.722,809
2020-07-06T00:00:00.000Z,0,1,0,0,0,0.175,824
2020-07-07T00:00:00.000Z,0,41,0,0,0,3.28,1251
2020-07-08T00:00:00.000Z,0,0,0,0,0,0,1279
2020-07-09T00:00:00.000Z,0,7,0,0,0,0.693,1262
2020-07-10T00:00:00.000Z,0,3,0,0,0,0.309,1302
2020-07-11T00:00:00.000Z,0,5,0,0,0,0.448,1320
2020-07-12T00:00:00.000Z,0,6,0,0,0,0.972,1320
2020-07-13T00:00:00.000Z,0,16,0,0,0,1.369,1311
2020-07-14T00:00:00.000Z,0,4,0,0,0,0.549,1304
2020-07-15T00:00:00.000Z,0,1,0,0,0,0.137,1304
2020-07-16T00:00:00.000Z,0,4,0,0,0,0.59,1299
2020-07-17T00:00:00.000Z,0,13,0,0,0,1.792,1292
2020-07-18T00:00:00.000Z,0,2,0,0,0,0.387,1296
2020-07-19T00:00:00.000Z,0,4,0,0,1,0.999,1330
2020-07-20T00:00:00.000Z,0,11,1,0,2,1.54,1301
2020-07-21T00:00:00.000Z,0,9,0,0,0,1.158,1269
2020-07-22T00:00:00.000Z,0,1,0,0,0,0.193,1244
2020-07-23T00:00:00.000Z,0,0,0,0,0,0,1264
2020-07-24T00:00:00.000Z,0,0,0,0,0,0,1274
2020-07-25T00:00:00.000Z,0,0,0,0,0,0,1145
2020-07-27T00:00:00.000Z,0,1,0,0,0,0.287,298
2020-07-28T00:00:00.000Z,0,3,0,0,1,0.792,966
2020-07-29T00:00:00.000Z,0,3,0,0,0,0.545,1155
2020-07-30T00:00:00.000Z,0,3,0,0,0,0.486,1125
2020-07-31T00:00:00.000Z,0,5,0,0,1,1.2,986
2020-08-01T00:00:00.000Z,0,8,1,0,3,1.623,1092
2020-08-02T00:00:00.000Z,0,5,1,0,1,1.056,1127
2020-08-03T00:00:00.000Z,0,2,0,0,0,0.418,1082
